well_id,episode_type,start_date,end_date,n_days,f_mean,f_cv,rpr_mean,rpr_cv,wc_mean
Au_389,Остановка,2025-01-01,2025-01-04,4,0.0,0.0,4.4,2.0,0.0
Au_389,Запуск ЭЦН,2025-01-05,2025-01-07,3,44.3,0.192,103.6,0.174,0.0
Au_389,НУР,2025-01-08,2025-01-14,7,48.4,0.087,81.3,0.067,0.0
Au_389,Снижение Рпл/КН,2025-01-15,2025-01-19,5,49.6,0.096,69.5,0.026,0.0
Au_389,Остановка,2025-01-20,2025-09-09,233,0.0,0.0,1.8,6.059,0.0012755321888412016
Au_389,Запуск ЭЦН,2025-09-10,2025-09-10,1,11.1,0.0,66.5,0.0,0.5
Au_389,Остановка,2025-09-11,2025-09-24,14,0.2,3.742,15.9,2.018,0.0
Au_389,Запуск ЭЦН,2025-09-25,2025-09-27,3,40.1,0.288,81.3,0.118,0.5356156666666666
Au_389,НУР,2025-09-28,2025-10-04,7,51.2,0.022,85.2,0.005,0.07501585714285712
Au_389,Снижение Рпл/КН,2025-10-05,2025-12-07,64,57.7,0.082,97.9,0.115,0.00080396875
Au_389,НУР,2025-12-08,2025-12-08,1,5.6,0.0,54.1,0.0,0.0
Au_389,Остановка,2025-12-09,2025-12-11,3,0.2,1.732,0.0,0.0,0.0
Au_389,Запуск ЭЦН,2025-12-12,2025-12-14,3,10.4,0.49,0.0,0.0,0.0
Au_389,НУР,2025-12-15,2025-12-17,3,26.1,0.207,0.0,0.0,0.0
Au_389,Остановка,2025-12-18,2025-12-19,2,1.8,0.0,0.0,0.0,0.0
Au_389,Запуск ЭЦН,2025-12-20,2025-12-20,1,5.2,0.0,27.4,0.0,0.0
Au_389,Остановка,2025-12-21,2026-01-01,12,0.1,3.464,0.9,3.464,0.0
Au_389,Запуск ЭЦН,2026-01-02,2026-01-04,3,41.7,0.099,165.9,0.089,2.433564666666667
Au_389,НУР,2026-01-05,2026-01-23,19,54.5,0.054,89.8,0.306,0.8925321052631577
Au_389,Снижение Рпл/КН,2026-01-24,2026-03-19,55,59.0,0.057,62.0,0.04,0.03019876363636364
Au_389,Деградация ЭЦН,2026-03-20,2026-03-22,3,60.0,0.0,49.5,0.086,0.0
Au_389,Снижение Рпл/КН,2026-03-23,2026-04-30,39,58.1,0.139,60.9,0.1,0.1174409487179487
Au_389,Деградация ЭЦН,2026-05-01,2026-05-01,1,12.5,0.0,77.7,0.0,0.0
Au_449,Остановка,2025-01-01,2025-09-10,253,0.0,14.01,0.3,15.37,0.07487723320158103
Au_449,Запуск ЭЦН,2025-09-11,2025-09-13,3,41.9,0.157,106.5,0.04,1.3636126666666666
Au_449,НУР,2025-09-14,2025-10-17,34,42.3,0.239,92.6,0.082,0.5271480588235294
Au_449,Снижение Рпл/КН,2025-10-18,2025-10-27,10,43.9,0.182,76.7,0.068,0.3883968
Au_449,Деградация ЭЦН,2025-10-28,2025-11-03,7,30.9,0.616,85.8,0.198,0.0
Au_449,Остановка,2025-11-04,2025-11-09,6,0.4,2.449,60.3,1.017,0.0
Au_449,Запуск ЭЦН,2025-11-10,2025-11-12,3,45.7,0.053,88.2,0.027,2.350289
Au_449,НУР,2025-11-13,2025-11-19,7,50.1,0.058,71.7,0.052,1.3481527142857141
Au_449,Снижение Рпл/КН,2025-11-20,2025-11-22,3,35.0,0.427,74.7,0.072,1.650857
Au_449,Деградация ЭЦН,2025-11-23,2025-12-04,12,37.6,0.432,78.7,0.171,0.7294743333333334
Au_449,Снижение Рпл/КН,2025-12-05,2025-12-22,18,44.9,0.143,60.2,0.058,0.5295996666666666
Au_449,Деградация ЭЦН,2025-12-23,2025-12-25,3,46.2,0.136,54.7,0.012,0.0
Au_449,Снижение Рпл/КН,2025-12-26,2026-01-19,25,44.6,0.098,48.7,0.083,0.37234724
Au_449,Деградация ЭЦН,2026-01-20,2026-01-22,3,51.0,0.142,38.6,0.106,1.2553886666666667
Au_449,Снижение Рпл/КН,2026-01-23,2026-01-25,3,38.5,0.52,42.0,0.162,0.9281176666666667
Au_449,Деградация ЭЦН,2026-01-26,2026-01-28,3,51.3,0.058,34.2,0.088,1.263708
Au_449,Снижение Рпл/КН,2026-01-29,2026-02-11,14,46.4,0.075,33.7,0.068,1.2268435
Au_449,Рост обводненности | Рост Рпл,2026-02-12,2026-03-25,42,45.1,0.14,34.1,0.086,0.6738728333333333
Au_449,Рост обводненности,2026-03-26,2026-03-30,5,46.8,0.114,32.8,0.075,0.2500384
Au_449,Рост обводненности | Рост Рпл,2026-03-31,2026-04-08,9,41.4,0.211,36.4,0.105,1.3875503333333334
Au_449,Снижение Рпл/КН,2026-04-09,2026-04-11,3,48.1,0.12,34.3,0.075,0.5156286666666666
Au_449,Рост обводненности | Рост Рпл,2026-04-12,2026-04-15,4,40.3,0.202,36.2,0.117,1.6231885000000001
Au_449,Снижение Рпл/КН,2026-04-16,2026-05-01,16,45.6,0.071,34.8,0.057,0.541509625
Au_458,Запуск ЭЦН,2025-01-01,2025-01-03,3,198.9,0.095,151.8,0.044,0.254509
Au_458,НУР,2025-01-04,2025-01-08,5,188.9,0.252,154.7,0.123,0.33237459999999996
Au_458,Остановка / КВД,2025-01-09,2025-01-10,2,0.0,0.0,246.8,0.0,0.0
Au_458,Запуск ЭЦН,2025-01-11,2025-01-13,3,169.5,0.339,177.7,0.126,0.231424
Au_458,Остановка / КВД,2025-01-14,2025-01-14,1,0.0,0.0,249.2,0.0,0.0
Au_458,Запуск ЭЦН,2025-01-15,2025-01-17,3,165.3,0.521,184.4,0.22,0.08689566666666666
Au_458,НУР,2025-01-18,2025-01-24,7,209.7,0.037,151.4,0.016,0.13913471428571428
Au_458,Рост Рпл,2025-01-25,2025-02-08,15,204.9,0.089,136.9,0.085,0.21332500000000001
Au_458,Остановка,2025-02-09,2025-02-17,9,0.0,0.0,7.3,0.521,0.0
Au_458,Запуск ЭЦН,2025-02-18,2025-02-20,3,36.8,0.301,95.1,0.121,0.657217
Au_458,НУР,2025-02-21,2025-02-27,7,48.7,0.072,71.1,0.159,0.786891857142857
Au_458,Снижение Рпл/КН,2025-02-28,2025-05-17,79,54.5,0.021,41.1,0.211,0.52708
Au_458,Рост обводненности | Рост Рпл,2025-05-18,2025-06-06,20,52.9,0.165,36.1,0.709,0.65194025
Au_458,Деградация ЭЦН,2025-06-07,2025-06-10,4,55.0,0.0,48.3,0.049,1.1121960000000002
Au_458,Снижение Рпл/КН,2025-06-11,2025-08-19,70,54.7,0.029,39.4,0.184,0.9276073142857141
