well_id,field_code,vQliq_start,vQliq_end,total_dQ,stop_rate,stop_gdi,freq,periodic,complicated,water,nur,kprod,rpl,gf,калибровка_TR,фон,_check
Au_389,Au,387.1,148.7,-238.4,,0.0,-78.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,-159.1,0.0
Au_449,Au,130.3,126.0,-4.3,,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2,-2.9,0.0
Au_458,Au,655.6,0.0,-655.6,455.4,-467.9,-0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.6,-181.4,0.0
Au_459,Au,903.6,862.3,-41.3,,0.0,-7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,-33.6,0.0
Au_466,Au,69.0,34.1,-34.9,32.5,0.0,-18.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2,-14.9,0.0
Az_105,Az,796.6,792.2,-4.4,853.3,10.2,27.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2,-40.9,0.0
Az_129,Az,778.0,867.6,89.6,711.8,-60.9,-34.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,183.1,0.0
Az_269,Az,103.5,99.5,-4.0,,0.0,-5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,-1.1,0.0
Az_338,Az,50.9,68.2,17.3,,0.0,-6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,23.4,0.0
Az_476,Az,74.2,79.9,5.7,,0.0,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,5.6,0.0
Az_753,Az,522.9,453.2,-69.7,,0.0,-21.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4,-45.7,0.0
Az_780,Az,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Da_515,Da,183.9,0.0,-183.9,172.3,-173.2,-0.7,0.0,0.0,0.0,0.0,-5.0,-5.0,0.0,0.0,0.0,0.0
Da_51Da_515,Da,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ic_002,Ic,0.0,1.6,1.6,,1.5,0.2,0.0,0.0,0.0,0.1,0.0,-0.2,0.0,0.0,0.0,0.0
Ic_349,Ic,1098.1,1106.2,8.1,,0.0,0.4,0.0,0.0,0.0,0.0,0.0,8.5,0.0,-0.7,0.0,0.0
Ic_359,Ic,429.7,418.1,-11.6,,0.0,-5.5,0.0,0.0,0.0,0.0,0.0,-5.5,0.0,-0.5,0.0,0.0
Ic_367,Ic,967.7,927.0,-40.7,,0.0,-19.3,0.0,0.0,0.0,0.0,0.0,-19.3,0.0,-2.1,0.0,0.0
Ic_368,Ic,484.6,467.4,-17.2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.0,0.0,-0.2,0.0,0.0
Ic_370,Ic,212.1,213.8,1.7,,0.0,0.5,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.0
Ic_805,Ic,577.6,500.0,-77.6,293.5,-11.8,-13.2,-13.2,-13.2,0.0,0.0,-13.2,-13.2,0.0,0.0,0.0,0.0
Ic_914,Ic,200.3,191.0,-9.3,,0.0,-2.1,0.0,-2.1,0.0,0.0,-2.1,-2.1,0.0,-0.7,0.0,0.0
Mc_010,Mc,759.3,0.0,-759.3,559.2,-559.2,-30.7,0.0,0.0,0.0,0.0,0.0,-166.8,0.0,-2.6,0.0,-0.0
Mc_014,Mc,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mc_1003,Mc,375.5,255.9,-119.6,,0.0,-59.3,0.0,0.0,0.0,0.0,0.0,-59.0,0.0,-1.3,0.0,0.0
Mc_1004,Mc,0.0,0.0,0.0,160.6,6.0,-3.2,0.0,0.0,0.0,0.0,0.0,-2.8,0.0,0.0,0.0,0.0
Mc_20414,Mc,0.0,764.1,764.1,663.4,933.9,-283.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31.6,145.2,0.0
Mc_601,Mc,436.9,847.5,410.6,459.1,153.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,247.4,0.0
Vt_3311,Vt,280.1,304.0,23.9,,0.0,11.7,0.0,0.0,0.0,0.0,11.7,0.0,0.0,0.5,0.0,0.0
Vt_410,Vt,473.1,444.7,-28.4,,0.0,-3.2,0.0,0.0,0.0,0.0,0.0,-25.2,0.0,0.0,0.0,0.0
Vt_419,Vt,187.1,0.0,-187.1,212.5,-254.7,29.2,29.2,0.0,0.0,21.1,-11.9,0.0,0.0,0.0,0.0,-0.0
Vt_4401,Vt,237.5,466.8,229.3,214.0,196.6,-19.5,0.0,0.0,0.0,28.1,24.1,0.0,0.0,0.0,0.0,0.0
Vt_605,Vt,44.1,55.4,11.3,,0.0,4.9,4.9,0.0,0.0,0.0,0.0,4.9,0.0,-3.5,0.0,0.0
Vt_606,Vt,50.2,57.0,6.8,,0.0,3.3,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
Vt_655,Vt,201.8,221.6,19.8,174.3,2.2,12.3,9.3,0.0,0.0,0.0,0.0,12.3,0.0,-16.4,0.0,0.0
Ya_110,Ya,81.4,63.3,-18.1,,0.0,-17.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0
Ya_155,Ya,84.6,79.0,-5.6,,0.0,-5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
Ya_203,Ya,575.6,415.1,-160.5,440.2,-40.9,-49.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,-71.5,0.0
Ya_219,Ya,89.8,96.1,6.3,,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,6.6,0.0
Ya_289,Ya,183.1,178.2,-4.9,,0.0,-2.3,-1.3,-1.3,-1.3,3.3,-2.3,0.0,0.0,0.3,0.0,0.0
Ya_293,Ya,67.2,61.0,-6.2,,0.0,-6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,0.2,0.0
Ya_357,Ya,367.4,356.9,-10.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-10.4,0.0
Ya_410,Ya,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ya_502,Ya,288.8,279.6,-9.2,,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,-8.2,0.0
Ya_514,Ya,654.2,664.2,10.0,,0.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,2.4,0.0
Ya_549,Ya,215.8,303.4,87.6,,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,75.5,0.0
Ya_588,Ya,76.7,86.0,9.3,,0.0,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,-1.3,0.0
Ya_613,Ya,119.6,92.5,-27.1,,0.0,-14.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-11.8,0.0
Ya_631,Ya,291.5,0.0,-291.5,259.7,-259.7,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.4,0.0
Ya_676,Ya,116.0,101.8,-14.2,,0.0,-13.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,0.0,0.0
Ya_682,Ya,131.7,96.4,-35.3,,0.0,-35.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,0.8,0.0
Ya_694,Ya,73.6,59.5,-14.1,52.2,-13.9,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-9.0,0.0
Ya_759,Ya,742.3,753.7,11.4,,0.0,-22.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,31.1,0.0
Ya_784,Ya,223.7,224.1,0.4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0
