well_code;field_prefix;n_rows;rho_implied_ozna_kg_m3;rho_pvt_degassed_kg_m3;delta_pct
Au_088;Au;2212;830.0;825.9921;0.49
Au_092;Au;2413;820.0;825.9921;-0.73
Au_101;Au;1205;803.0;825.9921;-2.78
Au_120;Au;48;833.0;825.9921;0.85
Au_122;Au;374;838.0;825.9921;1.45
Au_223;Au;2309;831.0;825.9921;0.61
Au_224;Au;4464;831.0;825.9921;0.61
Au_243;Au;3673;820.0;825.9921;-0.73
Au_24401;Au;2097;821.0;825.9921;-0.6
Au_24403;Au;435;857.0;825.9921;3.75
Au_260;Au;91;826.0;825.9921;0.0
Au_302;Au;2506;854.0;825.9921;3.39
Au_304;Au;1853;831.0;825.9921;0.61
Au_313;Au;1756;831.0;825.9921;0.61
Au_348;Au;988;820.0;825.9921;-0.73
Au_357;Au;3355;831.0;825.9921;0.61
Au_359;Au;2227;840.0;825.9921;1.7
Au_368;Au;5809;837.0;825.9921;1.33
Au_369;Au;4544;830.0;825.9921;0.49
Au_390;Au;604;823.0;825.9921;-0.36
Au_392;Au;1961;830.0;825.9921;0.49
Au_398;Au;3458;826.0;825.9921;0.0
Au_441;Au;1207;820.0;825.9921;-0.73
Au_447;Au;1103;831.0;825.9921;0.61
Au_452;Au;1085;810.0;825.9921;-1.94
Au_456;Au;423;829.0;825.9921;0.36
Au_468;Au;4324;829.0;825.9921;0.36
Au_510;Au;2989;831.0;825.9921;0.61
Au_520;Au;667;830.0;825.9921;0.49
Au_522;Au;2234;831.0;825.9921;0.61
Au_523;Au;79;836.0;825.9921;1.21
Au_530;Au;783;812.0;825.9921;-1.69
Au_777;Au;3814;831.0;825.9921;0.61
Au_800;Au;2027;825.0;825.9921;-0.12
Au_900;Au;1217;828.0;825.9921;0.24
Au_9102;Au;1385;779.0;825.9921;-5.69
Au_9601;Au;1126;828.0;825.9921;0.24
Au_9602;Au;3365;825.0;825.9921;-0.12
Au_9701;Au;422;830.0;825.9921;0.49
Au_9702;Au;7101;831.0;825.9921;0.61
Au_9703;Au;3263;831.0;825.9921;0.61
Au_9704;Au;2211;831.0;825.9921;0.61
Au_9706;Au;1173;831.0;825.9921;0.61
Au_9801;Au;5638;831.0;825.9921;0.61
Au_9802;Au;7120;820.0;825.9921;-0.73
Au_9803;Au;904;825.0;825.9921;-0.12
Az_157;Az;1259;808.0;825.9921;-2.18
Az_266;Az;301;831.0;825.9921;0.61
Az_267;Az;723;834.0;825.9921;0.97
Az_269;Az;482;820.0;825.9921;-0.73
Az_323;Az;181;831.0;825.9921;0.61
Az_333;Az;124;830.0;825.9921;0.49
Az_336;Az;2741;824.0;825.9921;-0.24
Az_338;Az;121;833.0;825.9921;0.85
Az_365;Az;1756;818.0;825.9921;-0.97
Az_372;Az;772;826.0;825.9921;0.0
Az_383;Az;857;830.0;825.9921;0.49
Az_385;Az;23;831.0;825.9921;0.61
Az_390;Az;301;833.0;825.9921;0.85
Az_391;Az;2580;791.0;825.9921;-4.24
Az_397;Az;301;830.0;825.9921;0.49
Az_401;Az;1199;828.0;825.9921;0.24
Az_465;Az;1184;840.0;825.9921;1.7
Az_470;Az;504;833.0;825.9921;0.85
Az_471;Az;196;833.0;825.9921;0.85
Az_753;Az;242;825.0;825.9921;-0.12
Bt_009p;Bt;1068;824.0;808.1644;1.96
Bt_1202;Bt;302;820.0;808.1644;1.46
Bt_1203;Bt;483;820.0;808.1644;1.46
Bt_1204;Bt;181;830.0;808.1644;2.7
Bt_1205;Bt;181;830.0;808.1644;2.7
Bt_1501;Bt;543;830.0;808.1644;2.7
Bt_1503;Bt;423;840.0;808.1644;3.94
Bt_1504;Bt;484;840.0;808.1644;3.94
Bt_1505;Bt;506;827.0;808.1644;2.33
Bt_1506;Bt;285;823.0;808.1644;1.84
Bt_161;Bt;121;820.0;808.1644;1.46
Bt_170;Bt;161;821.0;808.1644;1.59
Bt_171;Bt;721;818.0;808.1644;1.22
Bt_176;Bt;362;810.0;808.1644;0.23
Bt_2002;Bt;241;840.0;808.1644;3.94
Bt_508;Bt;664;820.0;808.1644;1.46
Ic_001;Ic;121;820.0;808.1644;1.46
Ic_002;Ic;523;828.0;808.1644;2.45
Ic_2403;Ic;298;820.0;808.1644;1.46
Ic_312;Ic;2236;820.0;808.1644;1.46
Ic_325;Ic;151;740.0;808.1644;-8.43
Ic_345;Ic;61;824.0;808.1644;1.96
Ic_349;Ic;529;820.0;808.1644;1.46
Ic_350;Ic;121;821.0;808.1644;1.59
