Скважина;Дата;Дебит жидкости;Давление буферное;Давление затрубное;Загрузка;Обводненность;Р на приеме насоса;Частота вращения двиг.;Активная мощность;БДПВ Объем в пересчете на сутки;БДПВ Расход воды;Давление в коллекторе;Полная мощность;Расход газа на сутки;Расход нефти;Газовый фактор;Газожидкостной фактор;Уплотненный дебит (виртуальный расходомер)
Au_389;01.07.2025;;36.561323;14.380911;0;;0;0;0;0;0;0;0;;;;;
Au_389;02.07.2025;;37.4776;15.689317;0;;0;0;0;0;0;0;0;;;;;
Au_389;03.07.2025;;37.070455;15.173242;0;;0;0;0;0;0;0;0;;;;;
Au_389;04.07.2025;;36.248057;13.878004;0;;0;0;0;0;0;0;0;;;;;
Au_389;05.07.2025;;36.293876;14.069108;0;;0;0;0;0;0;0;0;;;;;
Au_389;06.07.2025;;37.024266;14.651114;0;;0;0;0;0;0;0;0;;;;;
Au_389;07.07.2025;;38.198002;16.134227;0;;0;0;0;0;0;0;0;;;;;
Au_389;08.07.2025;;38.303871;15.980513;0;;0;0;0;0;0;0;0;;;;;
Au_389;09.07.2025;;38.545806;16.100545;0;;0;0;0;0;0;0;0;;;;;
Au_389;10.07.2025;;38.675123;16.029531;0;;0;0;0;0;0;0;0;;;;;
Au_389;11.07.2025;;38.752398;15.874011;0;;0;0;0;0;0;0;0;;;;;
Au_389;12.07.2025;;38.757248;15.849283;0;;0;0;0;0;0;0;0;;;;;
Au_389;13.07.2025;;38.809146;15.883633;0;;0;0;0;0;0;0;0;;;;;
Au_389;14.07.2025;;38.72402;15.70795;0;;0;0;0;0;0;0;0;;;;;
Au_389;15.07.2025;;38.645278;15.530772;0;;0;0;0;0;0;0;0;;;;;
Au_389;16.07.2025;;38.988573;15.753725;0;;0;0;0;0;0;0;0;;;;;
Au_389;17.07.2025;;39.022752;15.915483;0;;0;0;0;0;0;0;0;;;;;
Au_389;18.07.2025;;39.070012;15.723498;0;;0;0;0;0;0;0;0;;;;;
Au_389;19.07.2025;;39.0906;15.64459;0;;0;0;0;0;0;0;0;;;;;
Au_389;20.07.2025;;39.001904;15.454016;0;;0;0;0;0;0;0;0;;;;;
Au_389;21.07.2025;;38.081308;14.275562;0;;0;0;0;0;0;0;0;;;;;
Au_389;22.07.2025;;36.665847;12.983192;0;;0;0;0;0;0;0;0;;;;;
Au_389;23.07.2025;;36.336171;12.813636;0;;0;0;0;0;0;0;0;;;;;
Au_389;24.07.2025;;36.017798;12.557465;0;;0;0;0;0;0;0;0;;;;;
Au_389;25.07.2025;;35.52943;12.034978;0;;0;0;0;0;0;0;0;;;;;
Au_389;26.07.2025;;35.379207;11.878385;0;;0;0;0;0;0;0;0;;;;;
Au_389;27.07.2025;;36.029097;12.750771;0;;0;0;0;0;0;0;0;;;;;
Au_389;28.07.2025;;36.528706;12.891445;0;;0;0;0;0;0;0;0;;;;;
Au_389;29.07.2025;;35.994703;12.468005;0;;0;0;0;0;0;0;0;;;;;
Au_389;30.07.2025;;35.879031;12.397889;0;;0;0;0;0;0;0;0;;;;;
Au_389;31.07.2025;;35.881102;12.373723;0;;0;0;0;0;0;0;0;;;;;
Au_389;01.08.2025;;36.5901;14.138996;0;;0;0;0;0;0;0;0;;;;;
Au_389;02.08.2025;;36.19282;12.920559;0;;0;0;0;0;0;0;0;;;;;
Au_389;03.08.2025;;35.659054;12.321414;0;;0;0;0;0;0;0;0;;;;;
Au_389;04.08.2025;;36.48569;13.428879;0;;0;0;0;0;0;0;0;;;;;
Au_389;05.08.2025;;35.440185;12.018039;0;;0;0;0;0;0;0;0;;;;;
Au_389;06.08.2025;;34.974689;11.817399;0;;0;0;0;0;0;0;0;;;;;
Au_389;07.08.2025;;33.999579;11.065971;0;;0;0;0;0;0;0;0;;;;;
